Output source file name: T725
||||Date|(%)
Company Code|Company Name|Equity Owner Type|Equity Owner Name|Holding Date|Percent Shares
32084|Benares Hotels Ltd.|Non-Promoters|Other Directors|31-03-2020|0.810000
32084|Benares Hotels Ltd.|Non-Promoters|Raghubirsingh R Ghohil|30-06-2019|1.230000
32084|Benares Hotels Ltd.|Non-Promoters|Raghubirsingh R Ghohil|30-09-2019|1.230000
32084|Benares Hotels Ltd.|Non-Promoters|Raghubirsingh R Gohil|31-12-2019|1.230000
32084|Benares Hotels Ltd.|Non-Promoters|Raghubirsingh R Gohil|31-03-2020|1.230000
32084|Benares Hotels Ltd.|Non-Promoters|Vinodchandra Mansukhlal Parekh|30-06-2019|1.480000
32084|Benares Hotels Ltd.|Non-Promoters|Vinodchandra Mansukhlal Parekh|30-09-2019|1.540000
32084|Benares Hotels Ltd.|Non-Promoters|Vinodchandra Mansukhlal Parekh|31-12-2019|1.580000
32084|Benares Hotels Ltd.|Non-Promoters|Vinodchandra Mansukhlal Parekh|31-03-2020|1.580000
32084|Benares Hotels Ltd.|Promoters|All India Kashiraj Trust|30-06-2019|2.300000
32084|Benares Hotels Ltd.|Promoters|All India Kashiraj Trust|30-09-2019|2.300000
32084|Benares Hotels Ltd.|Promoters|All India Kashiraj Trust|31-12-2019|2.300000
32084|Benares Hotels Ltd.|Promoters|All India Kashiraj Trust|31-03-2020|2.300000
32084|Benares Hotels Ltd.|Promoters|Anamika Kunwar|30-06-2019|0.540000
32084|Benares Hotels Ltd.|Promoters|Anamika Kunwar|30-09-2019|0.540000
32084|Benares Hotels Ltd.|Promoters|Anamika Kunwar|31-12-2019|0.540000
32084|Benares Hotels Ltd.|Promoters|Anamika Kunwar|31-03-2020|0.540000
32084|Benares Hotels Ltd.|Promoters|Anant Narain Singh|30-06-2019|1.850000
32084|Benares Hotels Ltd.|Promoters|Anant Narain Singh|30-09-2019|1.850000
32084|Benares Hotels Ltd.|Promoters|Anant Narain Singh|31-12-2019|1.850000
32084|Benares Hotels Ltd.|Promoters|Anant Narain Singh|31-03-2020|1.850000
32084|Benares Hotels Ltd.|Promoters|Imlak Varanasi Developments Private Limited|30-06-2019|0.080000
32084|Benares Hotels Ltd.|Promoters|Imlak Varanasi Developments Private Limited|30-09-2019|0.080000
32084|Benares Hotels Ltd.|Promoters|Imlak Varanasi Developments Private Limited|31-12-2019|0.080000
32084|Benares Hotels Ltd.|Promoters|Imlak Varanasi Developments Private Limited|31-03-2020|0.080000
32084|Benares Hotels Ltd.|Promoters|M K Krishna Priya|30-06-2019|1.350000
32084|Benares Hotels Ltd.|Promoters|M K Krishna Priya|30-09-2019|1.350000
32084|Benares Hotels Ltd.|Promoters|M K Krishna Priya|31-12-2019|1.350000
32084|Benares Hotels Ltd.|Promoters|M K Krishna Priya|31-03-2020|1.350000
32084|Benares Hotels Ltd.|Promoters|M K Vishnupriya|30-06-2019|1.380000
32084|Benares Hotels Ltd.|Promoters|M K Vishnupriya|30-09-2019|1.380000
32084|Benares Hotels Ltd.|Promoters|M K Vishnupriya|31-12-2019|1.380000
32084|Benares Hotels Ltd.|Promoters|M K Vishnupriya|31-03-2020|1.380000
32084|Benares Hotels Ltd.|Promoters|Maharaj Kumari Hari Priya|30-06-2019|1.350000
32084|Benares Hotels Ltd.|Promoters|Maharaj Kumari Hari Priya|30-09-2019|1.350000
32084|Benares Hotels Ltd.|Promoters|Maharaj Kumari Hari Priya|31-12-2019|1.350000
32084|Benares Hotels Ltd.|Promoters|Maharaj Kumari Hari Priya|31-03-2020|1.350000
32084|Benares Hotels Ltd.|Promoters|Northern India Hotels Limited|30-06-2019|0.010000
32084|Benares Hotels Ltd.|Promoters|Northern India Hotels Limited|30-09-2019|0.010000
32084|Benares Hotels Ltd.|Promoters|Northern India Hotels Limited|31-12-2019|0.010000
32084|Benares Hotels Ltd.|Promoters|Northern India Hotels Limited|31-03-2020|0.010000
32084|Benares Hotels Ltd.|Promoters|Oriental Hotels Limited|30-06-2019|0.000000
32084|Benares Hotels Ltd.|Promoters|Oriental Hotels Limited|30-09-2019|0.000000
32084|Benares Hotels Ltd.|Promoters|Oriental Hotels Limited|31-12-2019|0.000000
32084|Benares Hotels Ltd.|Promoters|Oriental Hotels Limited|31-03-2020|0.000000
32084|Benares Hotels Ltd.|Promoters|Piem Hotels Limited|30-06-2019|4.150000
32084|Benares Hotels Ltd.|Promoters|Piem Hotels Limited|30-09-2019|4.150000
32084|Benares Hotels Ltd.|Promoters|Piem Hotels Limited|31-12-2019|4.150000
32084|Benares Hotels Ltd.|Promoters|Piem Hotels Limited|31-03-2020|4.150000
32084|Benares Hotels Ltd.|Promoters|The Indian Hotels Company Limited|30-06-2019|49.520000
32084|Benares Hotels Ltd.|Promoters|The Indian Hotels Company Limited|30-09-2019|49.520000
